,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
0,619.0,France,Female,42,2,0.0,1,1,1,101348.88,1
1,608.0,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
2,699.0,France,Female,39,1,0.0,2,0,0,93826.63,0
3,850.0,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
4,645.0,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
5,822.0,France,Male,50,7,0.0,2,1,1,10062.8,0
6,384.5,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
7,501.0,France,Male,44,4,142051.07,2,0,1,74940.5,0
8,528.0,France,Male,31,6,102016.72,2,0,0,80181.12,0
9,497.0,Spain,Male,24,3,0.0,2,1,0,76390.01,0
10,476.0,France,Female,34,10,0.0,2,1,0,26260.98,0
11,549.0,France,Female,25,5,0.0,2,0,0,190857.79,0
12,635.0,Spain,Female,35,7,0.0,2,1,1,65951.65,0
13,616.0,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
14,653.0,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
15,549.0,Spain,Female,24,9,0.0,2,1,1,14406.41,0
16,587.0,Spain,Male,45,6,0.0,1,0,0,158684.81,0
17,726.0,France,Female,24,6,0.0,2,1,1,54724.03,0
18,732.0,France,Male,41,8,0.0,2,1,1,170886.17,0
19,636.0,Spain,Female,32,8,0.0,2,1,0,138555.46,0
20,669.0,France,Male,46,3,0.0,2,0,1,8487.75,0
21,846.0,France,Female,38,5,0.0,1,1,1,187616.16,0
22,756.0,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
23,571.0,France,Male,44,9,0.0,2,0,0,38433.35,0
24,574.0,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
25,411.0,France,Male,29,0,59697.17,2,1,1,53483.21,0
26,591.0,Spain,Female,39,3,0.0,3,1,0,140469.38,1
27,533.0,France,Male,36,7,85311.7,1,0,1,156731.91,0
28,553.0,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
29,520.0,Spain,Female,42,6,0.0,2,1,1,34410.55,0
30,722.0,Spain,Female,29,9,0.0,2,1,1,142033.07,0
