ebi_exp_customers
customer_id;credit_score;country;gender;age;tenure;balance;products_number;credit_card;active_member;estimated_salary
15575430;579;France;Female;33;1;118392.75;1;1;1;157564.75
15793890;728;France;Female;59;4;0;1;1;1;163365.85
15701166;660;France;Male;40;5;131754.11;2;1;1;38761.61
15624677;543;Germany;Female;37;3;122304.65;2;0;0;33998.7
15586264;572;France;Male;43;2;140431.98;1;1;0;26450.57
15600991;694;Germany;Male;31;6;109052.59;2;1;1;19448.93
15769974;679;Spain;Female;35;8;119182.73;1;0;0;121210.09
15671097;428;France;Female;31;2;0;2;1;0;54487.43
15677184;767;France;Female;35;6;115576.44;1;0;1;27922.45
15580366;566;Germany;Male;54;4;118614.6;2;1;1;172601.62
15791316;714;France;Male;35;3;0;2;1;1;95623.28
15785339;640;France;Female;50;9;117565.03;2;0;0;82559.77
15604345;730;France;Female;22;9;65763.57;1;1;1;145792.01
15815428;823;France;Male;34;3;105057.33;1;1;0;9217.92
15702095;585;Spain;Female;56;1;128472.8;1;1;0;186476.91
15681878;436;Germany;Male;45;3;104339.11;2;1;1;183540.22
15644994;714;Germany;Male;54;4;137986.58;2;0;1;51308.54
15711386;724;France;Female;29;6;0;2;0;1;64729.51
15725679;531;France;Female;47;6;0;1;0;0;194998.34
15744398;525;France;Female;23;5;0;2;1;0;160249.1
15618245;706;Germany;Male;31;1;117020.08;2;1;0;54439.53
15635277;605;Spain;Male;47;7;142643.54;1;1;0;189310.27
15781914;718;Germany;Male;32;9;169947.41;2;1;1;27979.16
15730759;561;France;Female;27;9;135637;1;1;0;153080.4
15633419;622;Germany;Female;28;1;143124.63;2;1;0;81723.8
15615140;791;France;Male;36;6;111168.97;1;1;1;189969.91
15646756;682;France;Female;33;8;74963.5;1;1;1;32770.56
15729956;726;Spain;Female;26;1;80780.16;1;1;1;19225.85
15659962;637;France;Male;60;3;0;2;1;1;70174.03
15768530;554;Spain;Female;27;4;0;2;1;1;135083.73
15790757;769;France;Female;25;10;0;2;0;0;187925.75
15589329;775;France;Male;30;4;0;2;1;0;49337.84
15815560;666;Germany;Male;74;7;105102.5;1;1;1;46172.47
15663625;501;France;Male;37;4;0;2;0;0;12470.3
15722322;655;Spain;Female;78;2;0;2;0;1;188435.38
15575694;729;Spain;Female;45;7;91091.06;2;1;0;71133.12
15756167;762;Spain;Female;43;5;134204.67;1;1;1;139971.01
15599090;564;Germany;Male;40;7;108407.34;1;1;1;83681.2
15697034;583;Spain;Female;22;2;0;2;0;1;5985.36
15592570;773;Spain;Female;23;8;0;2;1;0;56759.79
15728167;667;France;Male;44;2;122806.95;1;0;0;15120.86
15643671;696;Germany;Male;49;5;97036.22;2;1;0;152450.84
15799653;583;Germany;Female;32;7;94753.55;2;1;1;18149.03
15758856;597;France;Male;45;7;0;2;0;0;167756.45
15686964;675;France;Female;34;10;84944.58;1;0;0;146230.63
15570326;621;France;Male;34;6;0;2;1;1;99128.13
15721730;601;Spain;Female;44;4;0;2;1;0;58561.31
15811032;477;Germany;Female;58;8;145984.92;1;1;1;24564.7
15712825;511;Spain;Female;29;9;0;2;0;1;140676.98
15807609;650;Spain;Female;25;3;86605.5;3;1;0;16649.31
15711825;655;Spain;Female;35;1;82231.51;2;1;0;88798.02
15714832;652;Germany;Male;36;9;150956.71;1;0;0;72350.17
15750803;693;France;Female;30;6;127992.25;1;1;1;50457.2
15805681;716;France;Male;41;9;0;1;1;1;113267.48
15791769;691;France;Female;29;9;116536.43;1;1;0;51987.99
15566894;793;France;Male;39;3;137817.52;1;0;0;83997.79
15739123;737;Germany;Male;50;4;127552.85;2;1;0;4225.11
15809906;558;Germany;Male;26;1;148853.29;2;1;1;24411.02
15646190;677;France;Female;56;0;119963.45;1;0;0;158325.87
15624293;514;France;Female;46;3;106511.85;1;1;0;55072.32
15692226;705;France;Female;31;3;142905.51;1;1;1;58134.97
15580252;748;France;Male;44;4;112610.77;1;0;1;2048.55
15700083;609;Spain;Male;39;2;139443.75;2;1;0;9234.06
15798521;675;Spain;Male;33;3;0;2;1;0;45348.08
15734886;686;France;Female;34;3;123971.51;2;1;0;147794.63
15795511;800;Germany;Male;39;4;95252.72;1;1;0;13906.34
15593976;578;Germany;Female;31;5;102088.68;4;0;0;187866.21
15719940;628;Germany;Female;51;10;115280.49;2;0;0;12628.61
15709653;497;France;Male;32;8;0;2;1;0;67364.42
15726484;633;France;Male;37;7;141546.35;1;1;1;124830.11
15711455;740;Germany;Female;36;4;109044.6;1;0;0;94554.74
15627262;536;Germany;Male;23;6;92366.72;2;1;0;120661.71
15750458;693;France;Female;39;4;0;2;0;1;142331.39
15615456;680;France;Female;37;10;123806.28;1;1;0;81776.84
15652693;573;France;Female;26;4;129109.02;1;0;0;149814.68
15641136;629;France;Male;32;2;0;2;0;1;77965.44
15731751;437;France;Female;26;1;120923.52;1;0;1;78854.57
15671148;490;Germany;Male;33;5;96341;2;0;0;108313.34
15658577;629;France;Female;37;10;99546.25;3;0;1;25136.95
15784286;641;Spain;Male;40;5;102145.13;1;1;1;100637.07
15750055;503;Spain;Male;32;9;100262.88;2;1;1;157921.25
15641319;518;Spain;Male;50;4;0;1;0;0;107112.25
15602280;829;Germany;Female;27;9;112045.67;1;1;1;119708.21
15749671;794;France;Male;35;6;0;2;1;1;68730.91
15735909;607;Germany;Female;39;8;105103.33;1;1;0;104721.5
15632575;559;France;Female;70;9;0;1;1;1;122996.76
15694272;673;France;Male;30;1;64097.75;1;1;1;77783.35
15607753;606;Spain;Female;23;10;70417.79;1;0;1;90896.04
